ID;Title;CountInPack;Unit;CountInStock;MinCount;Description; Cost;Image;MaterialTypeID
1;Резина 1x3;3;м;77;44;;8334;\materials\material_15.jpeg;1
2;Краска 2x3;8;л;414;33;;24447;\materials\material_16.jpeg;2
3;Резина 3x3;8;кг;727;46;;42751;;1
4;Краска 1x4;9;кг;576;7;;52716;;2
5;Резина 1x37;8;кг;110;47;;1053;;1
6;Резина 2x0;3;м;129;11;;46084;;1
7;Резина 1x14;5;м;7;9;;17063;;1
8;Силикон 3x33;7;м;687;45;;54740;;3
9;Резина 3x22;6;кг;672;14;;27626;;1
10;Резина 2x1;10;м;886;7;;36226;\materials\material_13.jpeg;1
11;Краска 1x2;9;л;801;28;;48813;;2
12;Резина 2x3;9;м;50;11;;52328;;1
13;Силикон 1x27;8;кг;950;14;;6286;;3
14;Краска 3x14;5;л;34;13;;38060;\materials\material_8.jpeg;2
15;Краска 2x5;9;кг;542;32;;29855;;2
16;Силикон 3x15;7;кг;856;17;;40057;\materials\material_14.jpeg;3
17;Силикон 3x39;9;м;858;8;;31438;;3
18;Силикон 1x2;7;кг;469;50;;24120;\materials\material_19.jpeg;3
19;Силикон 3x28;7;м;92;47;;37171;;3
20;Силикон 0x18;2;кг;631;8;;15243;;3
21;Силикон 0x0;5;кг;929;37;;17974;;3
22;Краска 3x31;3;л;365;32;;30698;;2
23;Резина 1x5;2;м;481;11;;42602;;1
24;Силикон 0x12;6;кг;610;12;;5588;;3
25;Силикон 3x2;8;кг;863;32;;55673;\materials\material_20.jpeg;3
26;Резина 1x9;10;м;587;48;;10774;;1
27;Краска 3x35;4;кг;479;31;;6825;;2
28;Краска 2x31;1;кг;771;14;;32610;;2
29;Резина 3x25;6;м;199;5;;9652;;1
30;Краска 4x0;9;л;713;22;;55038;\materials\material_9.jpeg;2
31;Краска 2x4;10;л;761;49;;35636;\materials\material_6.jpeg;2
32;Резина 1x0;10;м;459;22;;469;;1
33;Краска 3x2;10;л;922;35;;44456;;2
34;Краска 3x0;7;л;921;20;;41707;;2
35;Краска 2x29;7;кг;465;30;;37812;;2
36;Силикон 3x14;7;м;324;19;;38935;;3
37;Силикон 3x3;10;м;870;6;;2870;;3
38;Силикон 3x18;5;м;978;24;;40196;;3
39;Резина 3x37;10;м;870;43;;18158;;1
40;Краска 0x4;10;кг;3;45;;31475;\materials\material_7.jpeg;2
41;Краска 2x1;4;л;2;5;;48799;\materials\material_2.jpeg;2
42;Резина 0x0;8;кг;897;20;;18283;;1
43;Краска 4x3;2;л;218;27;;42215;;2
44;Резина 11x0;5;м;402;17;;39297;;1
45;Резина 0x2;9;кг;577;38;;46929;;1
46;Краска 0x5;7;л;559;50;;36762;;2
47;Резина 3x2;4;м;131;31;;12723;;1
48;Силикон 1x22;7;м;649;48;;31182;;3
49;Краска 2x0;3;л;595;27;;28464;\materials\material_1.jpeg;2
50;Краска 0x2;9;л;235;15;;20629;;2
51;Силикон 2x2;8;м;46;42;;42856;\materials\material_3.jpeg;3
52;Резина 0x13;6;кг;376;48;;54301;;1
53;Резина 0x78;3;кг;593;48;;38768;;1
54;Краска 2x2;2;л;787;16;;45084;\materials\material_21.jpeg;2
55;Силикон 0x2;2;м;669;43;;9098;;3
56;Резина 0x10;3;кг;354;22;;47481;;1
57;Резина 3x23;7;кг;167;45;;23578;;1
58;Резина 2x35;7;м;271;13;;30798;;1
59;Силикон 0x3;1;м;117;21;;4589;;3
60;Резина 2x2;3;м;851;7;;44820;;1
61;Краска 0x3;2;кг;646;5;;8487;;2
62;Резина 0x12;1;кг;380;13;;14110;\materials\material_4.jpeg;1
63;Краска 3x27;3;кг;568;37;;14606;;2
64;Резина 2x27;6;м;434;32;;47429;;1
65;Силикон 0x28;8;м;144;34;;43526;;3
66;Резина 1x1;2;м;244;43;;8906;;1
67;Резина 0x30;1;м;143;48;;21180;;1
68;Силикон 0x23;9;м;753;10;;9412;;3
69;Силикон 2x13;3;м;423;5;;19429;;3
70;Резина 0x3;6;м;340;16;;11310;;1
71;Краска 4x04;9;кг;657;25;;54177;;2
72;Резина 1x32;9;м;709;45;;36799;;1
73;Силикон 1x1;1;кг;110;10;;10649;;3
74;Резина 3x1;6;м;713;27;;24002;;1
75;Резина 0x65;1;м;133;34;;9263;;1
76;Силикон 0x11;9;м;465;11;;34946;;3
77;Краска 0x0;8;л;318;28;;35754;;2
78;Краска 2x24;2;кг;797;23;;26008;\materials\material_22.jpeg;2
79;Краска 0x1;7;л;228;14;;13666;;2
80;Резина 3x38;10;м;892;9;;11039;\materials\material_17.jpeg;1
81;Резина 3x28;8;кг;395;43;;54007;;1
82;Краска 3x18;10;л;128;5;;20504;\materials\material_10.jpeg;2
83;Силикон 0x1;3;кг;401;9;;29767;;3
84;Краска 1x0;5;кг;12;49;;51511;\materials\material_18.jpeg;2
85;Краска 3x1;3;кг;729;21;;10299;;2
86;Силикон 3x0;9;кг;901;48;;23681;\materials\material_5.jpeg;3
87;Силикон 3x35;2;м;610;32;;3326;;3
88;Краска 1x1;2;л;281;20;;19485;\materials\material_11.jpeg;2
89;Силикон 2x17;1;кг;409;16;;12158;;3
90;Резина 0x1;3;м;986;18;;24135;;1
91;Силикон 3x1;9;м;16;17;;33602;\materials\material_12.jpeg;3
92;Силикон 2x1;6;м;461;13;;19352;;3
93;Резина 0x37;9;м;764;26;;33541;;1
94;Силикон 3x37;9;кг;680;41;;489;;3
95;Краска 5x0;10;л;844;24;;43028;;2
96;Резина 3x34;4;м;218;47;;42162;;1
97;Краска 3x13;3;л;851;6;;41211;;2
98;Краска 3x4;5;л;83;41;;21211;;2
99;Краска 1x3;6;л;91;50;;46354;;2
100;Краска 2x28;4;л;916;42;;9273;;2
